Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_NV002_001,SE_NV002_002,SE_T002_001,SE_NV003_001,SE_T003_001,SE_NV004_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_NV005_001,SE_NV005_002,SE_NV005_003,SE_T005_001,SE_T005_002,SE_T006_001,SE_T006_002,SE_NV007_001,SE_NV007_002,SE_T007_001,SE_T007_002,SE_T008_001,SE_NV008_001,SE_T009_001,SE_NV009_001,SE_T010_001,SE_T010_002,SE_NV010_001,SE_NV010_002,SE_T011_001,SE_T011_002,SE_T011_003,SE_NV011_001,SE_NV011_002,SE_NV011_003,SE_T016_001,SE_T016_007,ORG_HD2012_008_HEALTH_T6_V25,ORG_HD2012_008_HEALTH_T6_V12,ORG_HD2012_008_HEALTH_T6_V13,ORG_HD2012_008_HEALTH_T6_V14,ORG_HD2012_008_HEALTH_T6_V15,ORG_HD2012_008_HEALTH_T6_V16,ORG_HD2012_008_HEALTH_T6_V19,ORG_HD2012_008_HEALTH_T6_V18,ORG_HD2012_008_HEALTH_T6_V21,ORG_HD2012_008_HEALTH_T6_V17,ORG_HD2012_008_HEALTH_T6_V22,ORG_HD2012_009_HEALTH_T11_V2,ORG_HD2012_009_HEALTH_T11_V5,ORG_HD2012_009_HEALTH_T11_V4,ORG_HD2012_010_HEALTH_T8_V13,ORG_HD2012_010_HEALTH_T8_V8,ORG_HD2012_010_HEALTH_T8_V11,ORG_HD2012_010_HEALTH_T8_V10,ORG_HD2012_010_HEALTH_T8_V9,ORG_HD2012_010_HEALTH_T8_V12,ORG_HD2012_010_HEALTH_T8_V5,ORG_HD2012_010_HEALTH_T8_V6,ORG_HD2012_010_HEALTH_T8_V7,ORG_HD2012_011_HEALTH_T9_V5,ORG_HD2012_011_HEALTH_T9_V8,ORG_HD2012_011_HEALTH_T9_V9,ORG_HD2012_011_HEALTH_T9_V11,ORG_HD2012_011_HEALTH_T9_V10,ORG_HD2012_011_HEALTH_T9_V4,ORG_HD2012_011_HEALTH_T9_V1,ORG_HD2012_011_HEALTH_T9_V19,ORG_HD2012_011_HEALTH_T9_V17,ORG_HD2012_012_HEALTH_T10_V16,ORG_HD2012_012_HEALTH_T10_V15,ORG_HD2012_012_HEALTH_T10_V14,ORG_HD2012_012_HEALTH_T10_V6,ORG_HD2012_012_HEALTH_T10_V8,ORG_HD2012_012_HEALTH_T10_V7,ORG_HD2012_012_HEALTH_T10_V5,ORG_HD2012_012_HEALTH_T10_V1,ORG_HD2012_012_HEALTH_T10_V3,ORG_HD2012_012_HEALTH_T10_V2,ORG_HD2012_012_HEALTH_T10_V11,ORG_HD2012_012_HEALTH_T10_V10,ORG_HD2012_012_HEALTH_T10_V9,ORG_HD2012_013_HEALTH_T7_V6,ORG_HD2012_013_HEALTH_T7_V8,ORG_HD2012_013_HEALTH_T7_V7,ORG_HD2012_013_HEALTH_T7_V11,ORG_HD2012_013_HEALTH_T7_V12,ORG_HD2012_014_HEALTH_T3_V41,ORG_HD2012_014_HEALTH_T3_V42,ORG_HD2012_014_HEALTH_T3_V44,ORG_HD2012_014_HEALTH_T3_V43,ORG_HD2012_014_HEALTH_T3_V34,ORG_HD2012_014_HEALTH_T3_V35,ORG_HD2012_014_HEALTH_T3_V36,ORG_HD2012_014_HEALTH_T3_V28,ORG_HD2012_014_HEALTH_T3_V29,ORG_HD2012_014_HEALTH_T3_V30,ORG_HD2012_014_HEALTH_T3_V32,ORG_HD2012_014_HEALTH_T3_V22,ORG_HD2012_014_HEALTH_T3_V25,ORG_HD2012_014_HEALTH_T3_V24,ORG_HD2012_014_HEALTH_T3_V23,ORG_HD2012_014_HEALTH_T3_V26,ORG_HD2012_014_HEALTH_T3_V6,ORG_HD2012_014_HEALTH_T3_V7,ORG_HD2012_014_HEALTH_T3_V9,ORG_HD2012_014_HEALTH_T3_V8,ORG_HD2012_014_HEALTH_T3_V10,ORG_HD2012_014_HEALTH_T3_V16,ORG_HD2012_014_HEALTH_T3_V17,ORG_HD2012_014_HEALTH_T3_V19,ORG_HD2012_014_HEALTH_T3_V18,ORG_HD2012_014_HEALTH_T3_V20,ORG_HD2012_014_HEALTH_T3_V1,ORG_HD2012_014_HEALTH_T3_V2,ORG_HD2012_014_HEALTH_T3_V3,ORG_HD2012_015_HEALTH_T5_V11,ORG_HD2012_015_HEALTH_T5_V12,ORG_HD2012_015_HEALTH_T5_V9,ORG_HD2012_015_HEALTH_T5_V10,ORG_HD2012_015_HEALTH_T5_V28,ORG_HD2012_015_HEALTH_T5_V29,ORG_HD2012_015_HEALTH_T5_V30,ORG_HD2012_015_HEALTH_T5_V20,ORG_HD2012_015_HEALTH_T5_V21,ORG_HD2012_015_HEALTH_T5_V23,ORG_HD2012_015_HEALTH_T5_V5,ORG_HD2012_015_HEALTH_T5_V1,ORG_HD2012_015_HEALTH_T5_V2,ORG_HD2012_016_HEALTH_T2_V10,ORG_HD2012_016_HEALTH_T2_V49,ORG_HD2012_016_HEALTH_T2_V14,ORG_HD2012_016_HEALTH_T2_V12,ORG_HD2012_016_HEALTH_T2_V11,ORG_HD2012_016_HEALTH_T2_V13,ORG_HD2012_016_HEALTH_T2_V5,ORG_HD2012_016_HEALTH_T2_V7,ORG_HD2012_016_HEALTH_T2_V6,ORG_HD2012_016_HEALTH_T2_V8,ORG_HD2012_016_HEALTH_T2_V30,ORG_HD2012_016_HEALTH_T2_V32,ORG_HD2012_016_HEALTH_T2_V31,ORG_HD2012_016_HEALTH_T2_V33,ORG_HD2012_016_HEALTH_T2_V21,ORG_HD2012_016_HEALTH_T2_V50,ORG_HD2012_016_HEALTH_T2_V25,ORG_HD2012_016_HEALTH_T2_V23,ORG_HD2012_016_HEALTH_T2_V22,ORG_HD2012_016_HEALTH_T2_V24,ORG_HD2012_016_HEALTH_T2_V35,ORG_HD2012_016_HEALTH_T2_V36,ORG_HD2012_016_HEALTH_T2_V38,ORG_HD2012_016_HEALTH_T2_V45,ORG_HD2012_016_HEALTH_T2_V47,ORG_HD2012_016_HEALTH_T2_V44,ORG_HD2012_016_HEALTH_T2_V42,ORG_HD2012_016_HEALTH_T2_V41,ORG_HD2012_016_HEALTH_T2_V43,ORG_HD2012_017_HEALTH_T4_V18,ORG_HD2012_017_HEALTH_T4_V19,ORG_HD2012_017_HEALTH_T4_V46,ORG_HD2012_017_HEALTH_T4_V50,ORG_HD2012_017_HEALTH_T4_V47,ORG_HD2012_017_HEALTH_T4_V49,ORG_HD2012_017_HEALTH_T4_V48,ORG_HD2012_017_HEALTH_T4_V51,ORG_HD2012_017_HEALTH_T4_V53,ORG_HD2012_017_HEALTH_T4_V57,ORG_HD2012_017_HEALTH_T4_V54,ORG_HD2012_017_HEALTH_T4_V58,ORG_HD2012_017_HEALTH_T4_V1,ORG_HD2012_017_HEALTH_T4_V2,ORG_HD2012_017_HEALTH_T4_V4,ORG_HD2012_017_HEALTH_T4_V3,ORG_HD2012_017_HEALTH_T4_V5,ORG_HD2012_017_HEALTH_T4_V22,ORG_HD2012_017_HEALTH_T4_V65,ORG_HD2012_017_HEALTH_T4_V26,ORG_HD2012_017_HEALTH_T4_V24,ORG_HD2012_017_HEALTH_T4_V23,ORG_HD2012_017_HEALTH_T4_V25,ORG_HD2012_017_HEALTH_T4_V8,ORG_HD2012_017_HEALTH_T4_V7,ORG_HD2012_017_HEALTH_T4_V9,ORG_HD2012_017_HEALTH_T4_V11,ORG_HD2012_017_HEALTH_T4_V10,ORG_HD2012_017_HEALTH_T4_V12,ORG_HD2012_017_HEALTH_T4_V60,ORG_HD2012_017_HEALTH_T4_V63,ORG_HD2012_017_HEALTH_T4_V62,ORG_HD2012_018_HEALTH_T1_V39,ORG_HD2012_018_HEALTH_T1_V34,ORG_HD2012_018_HEALTH_T1_V40,ORG_HD2012_018_HEALTH_T1_V36,ORG_HD2012_018_HEALTH_T1_V35,ORG_HD2012_018_HEALTH_T1_V38,ORG_HD2012_018_HEALTH_T1_V26,ORG_HD2012_018_HEALTH_T1_V22,ORG_HD2012_018_HEALTH_T1_V24,ORG_HD2012_018_HEALTH_T1_V23,ORG_HD2012_018_HEALTH_T1_V25,ORG_HD2012_018_HEALTH_T1_V32,ORG_HD2012_018_HEALTH_T1_V30,ORG_HD2012_018_HEALTH_T1_V29,ORG_HD2012_018_HEALTH_T1_V28,ORG_HD2012_018_HEALTH_T1_V31,ORG_HD2012_018_HEALTH_T1_V20,ORG_HD2012_018_HEALTH_T1_V18,ORG_HD2012_018_HEALTH_T1_V17,ORG_HD2012_018_HEALTH_T1_V16,ORG_HD2012_018_HEALTH_T1_V19,ORG_HD2012_018_HEALTH_T1_V8,ORG_HD2012_018_HEALTH_T1_V2,ORG_HD2012_018_HEALTH_T1_V43,ORG_HD2012_018_HEALTH_T1_V7,ORG_HD2012_018_HEALTH_T1_V3,ORG_HD2012_018_HEALTH_T1_V5,ORG_HD2012_018_HEALTH_T1_V4,ORG_HD2012_018_HEALTH_T1_V6,ORG_HD2012_018_HEALTH_T1_V10,ORG_HD2012_018_HEALTH_T1_V11,ORG_HD2012_018_HEALTH_T1_V12,ORG_HD2012_018_HEALTH_T1_V42
"01001","Autauga","Autauga County, Alabama","01","01001",4.9,4.1,335,341,22.2,341,9.7,4663,22,1,11,43.690670056,2,20.990364,16.7,10146.32,17.8,13.8,5312,6059,721,9865.83,84.247787611,565,214,424.9,24.6,15.9,343,336,21.02,34.1,32.2,9274,"","",3,86.856606,50756,27.8,11.6,18.4,0.5,0.6,0,2.2,466,51.4,44.8,4,7.8808416739,1,,96,28.383136869,22.705326988,34.06094675,2,9274,21.02,4,10146.32,5312,17.8,15.774468,19.825532,344,16.7,57.448,1,53049,48816.59,57281.41,4973,19718,25.2206106,28.8,12.7,6.2,22.3,,,,12.3,9.7,15.3,50756,185.32,6059,13.8,12.370212766,15.229787234,22,43.690670056,2289,34,67.5,1481,2,4155,90.71083413,81.193780462,100.2278878,2,565,84.247787611,76.679265223,91.816309998,1,351,63.817663818,55.564703542,72.311058707,3,11,20.990364,4764,3,2,0,1,30,46.875,1,21279,24499,86.856606,2,6,33.3,24.6,84.378,343,18.9,31.3,3,34.1,28.7,39.9,2,32.2,26.7,38,2,15.9,53.424,336,10.9,22.8,4,214,424.9,2,611,12067,50.6,46.6,54.6,1,84.5,1,7941,14639,54.245508573,49.894286162,58.596730984,1,1933,24132,8,1,2530,17.5,12.748484848,22.251515152,1,23.7,69.441,293,17.6,31.2,3,4338,14687,29.536324641,24.756205292,34.31644399,1,444,290.50937285,2,,721,9865.83,8884.85,10846.81,2,341,22.2,17,28.4,2,335,4.9,3.8,6.1,3,341,4.1,2.9,5.4,2,,450,452.311,4663,9.7,8.8,10.5,2,1,2,50354,75.702
"01003","Baldwin","Baldwin County, Alabama","01","01003",3.4,4.2,1409,1413,12.5,1437,9,14373,144,29,83,81.719746669,16.5,48.142735,16.1,10018.91,20,16.4,21017,23971,2228,8091.77,80.946065429,2262,471,270,22.7,19.7,1432,1400,0.72,25.5,25.1,999,"","",1,83.513422,179878,23.1,17,10,0.5,0.6,0,3.3,3640,51,54.2,18,10.006782375,1,,263,23.183653321,20.381705322,25.98560132,1,999,0.72,1,10018.91,21017,20,18.093617,21.906383,1440,16.1,231.84,2,47618,44708.88,50527.12,20569,69476,29.6059071,28.9,10.6,5.1,19,4.496,3.261,5.731,11.4,9.8,13.1,179878,176.71,23971,16.4,14.970212766,17.829787234,144,81.719746669,1224,213,120.9,827,1,21083,57.965565436,54.624021076,61.307109797,1,2262,80.946065429,77.238339339,84.653791519,3,1752,71.689497717,67.462107211,75.360875044,1,83,48.142735,2077,1,1,14,4,112,35.668789809,1,64459,77184,83.513422,11,20,55,22.7,325.064,1432,19,26.8,2,25.5,22.6,28.5,1,25.1,22.6,28,1,19.7,275.8,1400,16.3,23.6,4,471,270,1,1802,36008,50,47.7,52.4,1,72.6,2,26343,43354,60.762559395,57.654481681,63.870637108,1,7256,81390,8.9,1,8357,20.2,15.686060606,24.713939394,1,19.3,240.092,1244,16,23.1,1,11651,40849,28.522118045,25.28833563,31.755900459,1,1196,241.88051992,2,,2228,8091.77,7608.904,8574.636,1,1437,12.5,10.6,14.8,1,1409,3.4,2.8,4,1,1413,4.2,3.4,4.9,2,,1288,1293.57,14373,9,8.5,9.4,1,29,16.5,6076,179.625
"01005","Barbour","Barbour County, Alabama","01","01005",6.1,4.6,314,316,24.8,323,12.1,2580,11,2,9,36.868212897,6.7,32.424253,17.9,9979.23,24,19.4,4392,4781,366,8835.69,84.792626728,434,208,709.7,23.4,11,324,319,4.85,37,34.2,1275,"","",7,78.987682,29737,22.3,13.8,46.6,0.5,0.3,0,5,554,46.8,71.5,1,3.3628140028,3,,57,28.495155824,21.097575666,35.892735981,2,1275,4.85,2,9979.23,4392,24,21.140426,26.859574,324,17.9,57.996,4,33074,30122.12,36025.88,3191,9795,32.5778458,65.1,23.2,12,38.4,,,,14,11.4,16.8,29737,334.91,4781,19.4,17.255319149,21.544680851,11,36.868212897,2712,17,57,1755,3,2746,114.56612111,102.27931381,126.85292842,4,434,84.792626728,76.129189138,93.456064319,1,248,65.322580645,56.317221988,76.819182249,2,9,32.424253,3084,7,4,0,1,21,63.636363636,4,7631,9661,78.987682,2,4,50,23.4,75.816,324,16.6,31.8,3,37,31.8,42.2,4,34.2,29.3,39.4,3,11,35.09,319,6.1,19.1,3,208,709.7,3,493,6638,74.3,67.7,80.8,4,64.1,4,2970,7588,39.14074855,33.918228497,44.363268603,4,1187,9773,12.1,3,2145,36.2,26.103030303,46.296969697,4,17.6,49.808,283,11.8,25.5,1,3237,6230,51.958266453,44.644023682,59.272509223,4,104,189.96474693,1,,366,8835.69,7541.11,10130.27,1,323,24.8,19.2,31.4,3,314,6.1,4.2,7.9,4,316,4.6,3,6.2,3,,311,312.18,2580,12.1,10.8,13.3,4,2,6.7,14918,80.104
"01007","Bibb","Bibb County, Alabama","01","01007",4.8,5.6,280,277,20.5,287,10,1867,6,0,4,27.791931076,0,17.826901,17.9,12040,22.9,18.4,3028,3349,378,13096.85,81.533101045,287,69,319,35.1,13.1,286,282,35.34,34,37.2,7087,"","",1,84.991072,21587,23.3,13.5,22.3,0.3,0.1,0,1.5,175,48,81.5,1,4.6324176588,3,,62,41.189718515,30.936763529,51.4426735,4,7087,35.34,4,12040,3028,22.9,20.278723,25.521277,287,17.9,51.373,4,35472,32034.28,38909.72,1518,7441,20.4004838,47.8,17.5,8.8,30,,,,11.8,9.4,14.6,21587,99.939,3349,18.4,16.374468085,20.425531915,6,27.791931076,3598,9,41.7,2399,4,1821,96.043898957,81.344352691,110.74344522,3,287,81.533101045,71.086329359,91.979872732,3,170,58.235294118,46.698959975,69.610449519,3,4,17.826901,5609,1,1,1,3,7,53.846153846,3,8092,9521,84.991072,5,7,71.4,35.1,100.386,286,26.4,45,4,34,28.8,39.7,2,37.2,31.2,43.2,4,13.1,36.942,282,8.2,20.4,4,69,319,2,273,4639,58.8,51.9,65.8,3,67.3,3,2566,6358,40.358603334,,,3,905,8444,10.7,3,1448,28.6,20.403636364,36.796363636,2,29.1,76.824,264,21.5,38.1,4,1872,5274,35.494880546,24.362871381,46.626889711,2,135,219.74802227,1,,378,13096.85,11260.702,14932.998,4,287,20.5,14.9,27.4,1,280,4.8,3.5,6.1,3,277,5.6,4,7.2,4,,187,186.7,1867,10,8.7,11.4,3,0,0,,58.835
"01009","Blount","Blount County, Alabama","01","01009",6.1,5.1,307,308,25.2,315,7.5,4828,13,1,5,22.493684466,1.7,8.890469,18.6,10755.04,21.9,17.6,7642,8591,781,8698.84,82.286634461,621,50,87,22.7,5.2,317,314,29.4,32,35.9,14841,"","",3,80.636417,58345,24.2,14.7,2.1,0.5,0.2,0,7.9,2269,50.2,91,3,5.1418287771,2,,121,31.160831093,25.608537553,36.713124633,2,14841,29.4,4,10755.04,7642,21.9,19.517021,24.282979,317,18.6,58.962,3,42906,38951.55,46860.45,5007,20605,24.2999272,36.8,13.9,6.8,24.4,5.408,3.095,7.721,12.6,9.8,15.9,58345,68.977,8591,17.6,15.812765957,19.387234043,13,22.493684466,4446,21,36.3,2752,4,4814,87.375959933,78.692891361,96.059028504,2,621,82.286634461,75.151947527,89.421321394,2,398,66.834170854,58.414835995,74.372608356,2,5,8.890469,11248,3,2,1,3,24,55.813953488,3,19335,23978,80.636417,3,6,50,22.7,71.959,317,17.3,29.3,2,32,26.6,38.2,1,35.9,29.9,42.5,4,5.2,16.328,314,3.1,8.8,1,50,87,1,618,12032,51.4,47.3,55.4,2,75.3,1,6710,15012,44.697575273,40.570651972,48.824498575,3,2319,26016,8.9,1,3356,24.1,18.754545455,29.445454545,1,14.3,39.754,278,10.4,19.3,1,3543,14006,25.296301585,20.375866111,30.216737059,1,110,142.597874,1,,781,8698.84,7847.318,9550.362,1,315,25.2,19.4,32.1,4,307,6.1,4.5,7.8,4,308,5.1,3.4,6.8,4,,363,362.1,4828,7.5,6.8,8.3,1,1,1.7,57794,79.38
"01011","Bullock","Bullock County, Alabama","01","01011",5.2,5.7,87,87,,,13.7,1199,5,0,2,45.783353173,0,18.163655,,10049.02,26.8,21.1,1814,1982,201,13597.75,83.177570093,214,91,842.9,,4.6,,85,15.82,39.4,30.9,1598,"","",7,81.833741,10985,24.6,10.8,68.2,0.4,0.3,0,9.4,74,44.5,64.7,0,0,3,,48,61.957068914,44.429313011,79.484824818,4,1598,15.82,3,10049.02,1814,26.8,23.344681,30.255319,,,,4,25969,23018.31,28919.69,1119,3732,29.9839228,92.1,34.2,18.6,53.3,,,,15.6,12.1,19.6,10985,378.11,1982,21.1,18.59787234,23.60212766,5,45.783353173,2184,5,45.8,2184,3,1266,96.578505001,80.96580976,112.19120024,3,214,83.177570093,70.958102072,95.397038115,2,114,64.912280702,52.649917989,83.721518704,2,2,18.163655,5505,7,4,0,1,4,66.666666667,4,3347,4090,81.833741,1,3,33.3,,,,,,2,39.4,31.9,47.2,4,30.9,24.5,37.9,1,4.6,3.91,85,1.7,12.3,1,91,842.9,4,236,2621,90,78.6,101.5,4,58.3,4,1057,2746,38.492352513,25.823527371,51.161177655,4,537,3651,14.7,4,958,40.3,28.658787879,51.941212121,4,,,,,,2,1607,2496,64.383012821,52.309848842,76.456176799,4,131,473.02664837,3,,201,13597.75,11188.381,16007.119,4,,,,,2,87,5.2,2.8,7.7,4,87,5.7,1.5,10,4,,164,164.263,1199,13.7,11.7,15.6,4,0,0,,
"01013","Butler","Butler County, Alabama","01","01013",4.3,3.5,288,290,24.1,301,11.3,1944,9,1,4,44.618511725,5,19.144252,17.9,12589.61,22.7,17.8,2594,2896,381,12230.6,79.606879607,407,121,602.3,28.7,8.8,301,289,2.75,40.8,36.6,579,"","",4,87.747588,19964,24.8,16.2,41.9,0.2,0.5,0,1,102,52.9,74.8,0,0,3,,53,36.830876783,26.915021172,46.746732394,3,579,2.75,2,12589.61,2594,22.7,20.197872,25.202128,301,17.9,53.879,3,29500,26244.02,32755.98,2510,8019,31.3006609,63.8,20.6,10.5,34.4,14.593,8.352,20.834,16.6,13.8,19.8,19964,222.12,2896,17.8,15.893617021,19.706382979,9,44.618511725,2241,11,54.5,1834,3,2759,174.53136556,159.81052265,189.25220846,4,407,79.606879607,70.938574939,88.275184275,3,223,53.3632287,44.922561641,64.600973392,4,4,19.144252,5223,4,3,0,1,17,47.222222222,1,6911,7876,87.747588,2,4,50,28.7,86.387,301,20.7,38.3,4,40.8,35.4,46.3,4,36.6,31.5,41.7,4,8.8,25.432,289,4.8,15.6,2,121,602.3,3,344,5215,66,59,72.9,4,75.5,1,2185,4888,44.701309329,,,2,1091,8993,12.1,3,1971,39.6,30.572121212,48.627878788,4,27.6,74.52,270,19.1,38,4,2514,5036,49.920571882,42.84175967,56.999384095,4,214,433.41772152,3,,381,12230.6,10474.499,13986.701,4,301,24.1,19.1,29.9,3,288,4.3,2.9,5.7,2,290,3.5,2.2,4.8,1,,220,219.672,1944,11.3,9.9,12.7,3,1,5,20171,72.541
"01015","Calhoun","Calhoun County, Alabama","01","01015",5.1,4.9,1194,1201,23.1,1224,9,10495,87,12,43,76.704695738,10.6,37.001661,17.3,11047.15,19.4,15.5,13276,14673,2033,11208.41,78.612440191,2090,616,543.1,26.8,12.5,1229,1198,18.92,33.6,33.9,20814,"","",5,85.888445,114081,23.4,15,20,0.4,0.8,0.1,2.6,1993,52.1,31,7,6.135991094,2,,211,26.789602587,23.174828879,30.404376295,2,20814,18.92,3,11047.15,13276,19.4,17.493617,21.306383,1232,17.3,213.136,1,37916,34936.8,40895.2,13395,46421,28.8554749,44.6,14.6,7.4,25.4,11.808,9.409,14.207,14.2,12.3,16.2,114081,173.89,14673,15.5,14.070212766,16.929787234,87,76.704695738,1304,119,104.9,953,1,15224,91.265503269,86.414927755,96.116078784,2,2090,78.612440191,74.811171515,82.413708868,4,1241,60.918614021,56.72490417,65.432860679,3,43,37.001661,2702,5,4,0,1,95,58.641975309,4,39805,46345,85.888445,9,12,75,26.8,329.372,1229,23.4,30.5,4,33.6,29.9,37.1,2,33.9,30.7,37.2,3,12.5,149.75,1198,9.6,16.1,3,616,543.1,3,1501,25976,57.8,54.9,60.7,3,71.7,2,14734,29935,49.219976616,46.091082659,52.348870573,2,5017,52565,9.5,2,8373,31.5,25.798181818,37.201818182,3,22.4,238.112,1063,18.9,26.2,2,10435,26562,39.285445373,35.315960493,43.254930253,3,2259,1005.8283725,4,,2033,11208.41,10534.719,11882.101,3,1224,23.1,20.3,26.3,3,1194,5.1,4.4,5.8,4,1201,4.9,4.2,5.6,4,,949,944.55,10495,9,8.5,9.6,1,12,10.6,9452,282.744
"01017","Chambers","Chambers County, Alabama","01","01017",4.4,4.8,293,303,41.1,317,11.1,2968,17,1,7,49.31395585,2.9,20.087812,19.9,9623.32,23.5,18.7,4752,5196,660,11218.17,84.120734908,762,194,563.6,21.4,12.7,316,308,0.81,35.2,35.8,293,"","",4,82.444361,34320,22.5,16.8,37.8,0.2,0.2,0,1.5,245,52.6,49.8,2,5.8275058275,2,,67,27.082415428,20.597473885,33.567356972,2,293,0.81,1,9623.32,4752,23.5,20.997872,26.002128,318,19.9,63.282,4,30061,27141.19,32980.81,4292,13681,31.3719757,60.1,20.2,10.3,33.8,,,,16.2,13.2,19.4,34320,276.23,5196,18.7,16.793617021,20.606382979,17,49.31395585,2028,23,66.7,1499,2,5081,72.718388627,65.482623598,79.954153655,1,762,84.120734908,77.608499148,90.632970668,1,449,67.037861915,60.257047263,75.605817752,2,7,20.087812,4978,4,3,2,4,22,53.658536585,3,10928,13255,82.444361,4,4,100,21.4,67.624,316,15.6,28.7,2,35.2,29.8,40.6,3,35.8,30.5,41.5,4,12.7,39.116,308,7,21.9,4,194,563.6,3,547,7785,70.3,64.4,76.2,4,60.8,4,3925,8519,46.073482803,40.584171844,51.562793762,2,1931,14060,13.7,4,3290,43.5,36.61030303,50.38969697,4,32.6,88.346,271,24.9,41.4,4,3732,8090,46.131025958,38.611011409,53.651040507,3,473,539.7879649,4,,660,11218.17,9976.863,12459.477,3,317,41.1,31.9,50.9,4,293,4.4,3.2,5.6,2,303,4.8,2.8,6.7,3,,329,329.448,2968,11.1,10,12.2,3,1,2.9,34473,130.287
"01019","Cherokee","Cherokee County, Alabama","01","01019",5.6,4.6,170,175,29,181,9,1806,6,0,2,24.577069594,0,7.82687,14.8,9922.3,21.7,17.8,3145,3469,475,11612.66,89.308176101,477,45,183.3,25.2,12.7,181,173,0.08,30.6,35.9,19,"","",4,77.877663,24448,20.9,18.6,5.6,0.3,0.4,0,1.3,93,51.4,100,1,4.0903141361,3,,47,27.363922706,19.540703534,35.187141877,2,19,0.08,1,9922.3,3145,21.7,19.317021,24.082979,181,14.8,26.788,3,34410,30714.51,38105.49,2766,11352,24.3657505,43.4,16.4,8.2,28.1,,,,13.2,10.1,16.9,24448,91.315,3469,17.8,16.012765957,19.587234043,6,24.577069594,4069,11,45.1,2219,4,3030,113.56743382,100.86342765,126.27144,4,477,89.308176101,80.82726537,97.789086831,1,293,66.894197952,57.268643333,75.914248139,2,2,7.82687,12776,4,3,0,1,16,61.538461538,4,7970,10234,77.877663,2,4,50,25.2,45.612,181,17.9,34.3,4,30.6,24.5,37.1,1,35.9,28.9,43.5,4,12.7,21.971,173,7.1,21.7,4,45,183.3,1,282,4553,61.9,54.7,69.2,3,66.6,3,2663,6072,43.857048748,37.544404668,50.169692829,3,1036,11355,9.1,2,1816,33.1,24.547272727,41.652727273,3,23,36.11,157,15.3,33.1,3,1356,5295,25.609065156,16.67875837,34.539371941,1,112,155.73291805,1,,475,11612.66,9972.375,13252.945,3,181,29,20.9,38.7,4,170,5.6,3.5,7.8,4,175,4.6,2.5,6.6,3,,163,162.54,1806,9,7.7,10.3,1,0,0,,52.49
